scenario,horizon,model,split,RMSE,MAE,MAPE
Historical,t+1,LinearRegression,validation,1864.4424769887646,1341.7200927734375,2.2778828144073486
Historical,t+1,LinearRegression,test,1658.4169409409685,1192.4144287109375,1.893355369567871
Historical,t+1,RandomForest,validation,3088.08709494639,2280.4404570646666,3.719726866641415
Historical,t+1,RandomForest,test,3235.374460005489,2690.620007958707,4.171147572678857
Historical,t+1,LSTM,validation,2290.974356032821,1812.8446044921875,3.0869839191436768
Historical,t+1,LSTM,test,2593.375888682549,2075.716064453125,3.2954390048980713
Historical,t+30,LinearRegression,validation,14851.834634145373,12717.91015625,19.9686222076416
Historical,t+30,LinearRegression,test,10306.6304872155,8542.3095703125,13.647018432617188
Historical,t+30,RandomForest,validation,18025.489745511888,16733.8921439602,25.946989562665145
Historical,t+30,RandomForest,test,13810.841353834277,13303.959823486488,21.4301084881174
Historical,t+30,LSTM,validation,16344.661758506965,14204.3818359375,21.932771682739258
Historical,t+30,LSTM,test,13806.21135576303,13126.0244140625,21.099857330322266
Sentiment,t+1,LinearRegression,validation,25143.289840432575,20680.958984375,32.94586944580078
Sentiment,t+1,LinearRegression,test,34806.76348068001,33670.27734375,52.598899841308594
Sentiment,t+1,RandomForest,validation,25152.219183686488,20636.045983617467,32.75899795777044
Sentiment,t+1,RandomForest,test,35145.29305480677,33974.37550303735,53.04857208319631
Sentiment,t+1,LSTM,validation,23402.271342756456,19588.822265625,31.0428409576416
Sentiment,t+1,LSTM,test,37185.77104216073,36794.4921875,57.751976013183594
Sentiment,t+30,LinearRegression,validation,28919.02183684642,26071.517578125,39.81403350830078
Sentiment,t+30,LinearRegression,test,32537.59327301268,31479.265625,51.07861328125
Sentiment,t+30,RandomForest,validation,28833.26783278075,26039.484348846396,39.75884191396402
Sentiment,t+30,RandomForest,test,32759.060037636977,31694.288717961157,51.43906487477709
Sentiment,t+30,LSTM,validation,27504.722503599267,25364.421875,38.78200149536133
Sentiment,t+30,LSTM,test,34030.70989562222,33636.49609375,54.776920318603516
Combined,t+1,LinearRegression,validation,1886.4897958907702,1363.5404052734375,2.3149449825286865
Combined,t+1,LinearRegression,test,1691.9722219942028,1211.844482421875,1.920066237449646
Combined,t+1,RandomForest,validation,3073.5662231995957,2276.2428450986567,3.716430442584853
Combined,t+1,RandomForest,test,3219.3949359810235,2674.438524472717,4.147630829779052
Combined,t+1,LSTM,validation,2893.3195468181525,2346.43017578125,4.084214687347412
Combined,t+1,LSTM,test,4076.612687023382,3592.834716796875,5.590560436248779
Combined,t+30,LinearRegression,validation,15387.14372455135,13138.666015625,20.41551971435547
Combined,t+30,LinearRegression,test,12702.84188675904,11050.953125,17.71808624267578
Combined,t+30,RandomForest,validation,17997.10935125484,16704.803073669376,25.906507281954568
Combined,t+30,RandomForest,test,13825.37914747,13321.779756840422,21.460308069849205
Combined,t+30,LSTM,validation,16300.517292405171,14917.16796875,22.98932647705078
Combined,t+30,LSTM,test,12023.645370685215,11239.2568359375,18.00851058959961
